для магистрантов учеба когда начинается забыла спросить при подаче документов,5
И колледж бітіріп барған студент 2 курстан бастап оқиды ма,1
Юрист мамандығын бітірсе Юриспруденция ға түсу үшін қандай пәннен тест тапсырады,3
У меня один предмет в оффлайн формате хотела узнать можно ли сдать экспресс тест на ковид в мед центре Или же Вы ТРЕБУЕТЕ пцр,7
 Добрый день Онлайн заявку на бакалавр оставляют сейчас все или только те кто собираются учиться на платной основе,1
Көп балалы отбасы га жеңілдіктер бар ма,1
Я зарегистрировалась на олимпиаду 12 марта но ID так и не пришел на почту,4
Могу ли я поступать без ент,1
Я не владею англ языком в совершенстве Если я поступлю к вам то сразу я буду учить предметы на английском,1
Салеметсызбе оқу бағасы жылына қанша болады айтасыз ба ,3
Здравствуйте я недавно зарегистрировалась в SPT но мне не выслали ID карту,4
здравствуйте когда портал откроют,7
здравствуйте можно ли в общежитии выбирать с кем проживать,7
Ұбтдан қанша балл болу керек Англ джт Грантқа,1
Сіздерде граттан айырылып қалатын кездер боладыма,7
"ұбт арқылы түсуге бола ма алдын ала тіркелмей
",1
Костанайдагы тестилеу кай мектепте отеди,1
вы не учавствуете в общем гос конкурсе грантов,1
Бул Универде кандай мамандыктар бар,3
сиздерде документ кабылдау 30 шилдеге дейын бе,3
"Говорят что в этом году на переводчика надо выбрать английский и казахский язык
",1
Сіздерде қазақ тілінен шектік балл қанша,1
Грантқа 135 пен Және алтын белгісіз көк аттестатпен сіздердің универлеріңізге түсуге мүмкіндік барма,1
сәлеметсізбе результаттар шыктыма,1
Хочу узнать какой уровень английского должно быть при поступлении,1
В вашем сайте подать документ онлайн это и есть грантка конкурска катысу документ откизу заявка беру,1
Место проведения теста где указаны,1
Саламатсыз ба олимпиада ондаинд откзлема,4
Соның қайсысын таңдасам болады педагогикаға түсу үшін,3
Можно ли придти с родителями проконсультироваться и посмотреть универ,1
Есть хоть какие то шансы Я набрала 81 баллов гео мат,1
Spt олимпиадасына документти кашаннан бастап жинау керек,4
Мен сайтты сурап жатқан едім,3
Осы универге әкімшілік грант бөліндіме,3
Вы завтра суббота работаете,7
Кешіріңіз SDU университетінде Арыс қаласының абитуренттереріне гранттар бөлініп жатыр ма,1
Қалайсыз маған Қызылордада болатын олимпияда кайжерде болатынын айтып жібересіз бе,4
Кешіріңіз қатысу үшін қандай құжаттар қажет,4
на каком языке мы будем учиться если поступим,1
Сəлеметсіз бе СДУ ға түсу үшін таңдау пəндерінің реттілігі химия биология болуы міндетті ме,3
Саламатсызба мен давноо тіркеліп қойып едім Сонда қайтадан тіркелемін ба sdukz,7
егер талапкер грантты толыктай иеленген жагдайда жатахана тегин болама немесе озгеде студенттер секиди акылы турде болама,1
Үздік аттестатпен бітірдім Сіздердің универге 91 баллмен грантқа шанс бар ма,1
SPT тест биология географиядан боладыма,4
Алматыда СПТ қай жерде болады,4
SPT Тест Жауап кашан шығады,4
Здравствуйте  у меня вопрос всем специальностям нужно сдавать тест на знание английского ,1
Спт жауаптары кашан шыгады,4
И на сайте вы указали что в перечень документов входит заявление можете объяснить какое,1
Хотела спросить можно подавать документы в ваш универ онлайн,1
Два иностранных языка проходной балл канша,1
Два иностранных языка қандай мамандыққа келеді,3
Сәлеметсіз бе результат щықтыма Сәлеметсіз бе қортынды қащан шығады,4
Бугин шыга ма Менин сурагым бар еди ггрант конкурстын ответы шыкты ма,4
На ент я сдавала все 5 предметов выбрав русский язык и литературу собираюсь поступать на журналистику я ж могу сдавать творческие экзамены,1
И Кандай пәндер агылшын тилинде отиледм,Type
Сіздерде көпбалалы отбасыға жағдайы төмен отбасыға жеңілдік бар ма,1
Шамамен айтсаңыз Грантка канша балмен түсуге болад,1
Здравствуйте можно поступить без сертификата ЕНТ,1
Можно ли узнать по поводу перевода к вашему ВУЗу,6
Здравствуйте могу ли я подать на эти гранты если я живу в Уральске,1
Қосымша бес ұпай алу үшін инстаграм парақшаға осы сайт жайлы жарияласам болады ма,1
Багасы канша жылына,3
Бірақ алдында SPT ға осы жылы пробный ретінде тапсырса болады деген еді,4
Программное обеспечениеге 81 баллмен орыс группасына грантка тусуге шанс бар ма,1
Здравствуйте набрала 105б алтын белги профильные предметы англ история Могу ли я поступить на грант,1
Экзамен Өз қаламыздағы универден сіздерге тапсыруға болады ма,2
Грант конкурсына Сду арқылы тіркеліп жатырмын міндетті түрде Сду жазу керекпе біреуіне,1
Скок стоит обучения после колледжа,3
В какой именно школе будет проводиться встреча в городе Семей Учителям в школе прислали информацию что будет в 6 гимназии а вы ответили в комментариях что будет в 4 школе,4
"На магистратуру по математике есть гранты
",6
Физ мат 94 баллбен втипо и Научн Мат ка тусе аламба,1
Официально ашық есік күні қашан Сəлеметсізбе Ашық есік күні болама,1
хотела бы уточнить где мне оставлять заявку на творческие экзамены вы ведь сообщите об этом в профиле,1
хотела спросить у вас до какого числа у вас принимается онлайн подача документов,1
где состоится экзамен хочу спросить,4
Здравствуйте приёмная комиссия до какого числа работает До какого числа документы принимаются,1
Сіздерге 2 шет тілі таңдап қанша баллмен тусе алады,1
SPT әр жылы боладыма,4
Англиский обязательно надо знать чтобы поступить на профессию,1
А я учусь в 10 классе могу ли я принять участие в вашей Олимпиаде,4
Нешесіне дейін болады  Грант конкурсы кашан болады,4
Но ещё на почту сообщние не пришло Я вчера зарегестрировалась в 11 утра,9
SPT дан проходной қанша балл,4
Сəлеметсізбе SDU университетінде қандай мамандықтар бар,3
Филолог мамандағына 2020 жылы қанша грант бөлінді жалпы,1
Ал жалпы мамандык ауыстыру мүмкін бе,7
Примерно сколько баллов нужно поступить на Информационные системы,1
Добрый день хочу жаловаться на работу студенческого отдела,2
Где будет проходить SPT в Шымкенте,4
Заявканы кайда жиберсе болады,1
Сіздерде грант ұту үшін олимпиада өткізіледі ме 11 сынып оқушыларына,4
Я записалась на олимпиаду которую проводит СДу Вообщем я поменяла джимейл Можно его изменить,4
Универде окып жургендер тапсыра алмайма Олимпиадага тиркелу ушин миндетти турде 11 сынып болу керек па,4
Сәлеметсізбе Финансы оқуында математика бүкіл 4 курс болады ма,7
Сәлеметсіздерме сіздерде Филология факультеті бойынша Магистратуаны шет елде оқуға мүмкіндік барма ,5
Профессия   айти Здравствуйте  Хотела спросить  У меня 109 балл  могу ли я поступить на грант ,1
Сәлеметсізбе Оқу барысында ақылы оқығанда жеңілдіктер алуға боладыма,1
Ертен Реннесанста өтетін ашық есіктер куны барлык мектепке ма алде белгылы мектептерге шакырумен ба,8
Я студент 2 курса можно в Адм записаться,8
СДУ га тапсырғалы отырған талапкер үшін ағылшын тілі міндет етіледі ме,1
Сду олимпиадасының қорытындысы қашан шығады екен,4
Егер жатақханада тамақ дайындауға рұқсат берілмесе таңғы ас пен кешкі асты қалай ішеміз,7
Какие предметы нужно сдать в КТА,3
Пишу чтобы уточнить насчёт флюорографии буквально на днях появилась надпись в портале что я ее не прошла хотя я прошла ее ещё в октябре не знаю у кого прояснить ситуацию,7
Олимпиада проходит на платной основе,4
Здравствуйте можно с Карагандинского политехе с IT на IT перевестись к вам Прошлогодние можно,6
СДУ да бизнес факультет бармекен,1
Сәлеметсіз бе ҰБТ да 88 балл   физмат   сіздерге грантка түсе аламын ба ,1
салеметсиз бе Сдуга ielts тапсыру аркылы тусуге бола ма,1
Маған почтаға логин пароль келді Сдудың сайтына кіргенде парольды бірнеше рет жаздым бірақ болмады,9
Саламатсызба Колледждан кейін дипломы бар адамдар университетке түсер кезде шанс көбірек боладыма әлде бәрінде бірдей шанспа,1
А результаты спт вышли,4
А где именно будет проходить тестирование в Астане,4
А на докторантуру есть какие то скидки,5
можно прийти с загранпаспортом если не можешь найти удостоверение личности ,2
Здравствуйте скажите пожалуйста для того чтобы в будущем стать веб дизайнером на какое отделение мне надо идти,1
Здравствуйте  сколько стоит обучение на финтех магистратура ,1
Я б хотел узнать когда будут ответы с олимпиад,4
Есть ли шанс получить грант Здравствуйте могу ли я поступить в ваш университет Профильные предметы Физ Мат Баллы на ЕНТ 79,1
1 жылға қанша ақшасы Автоматтандыру және басқару,3
Это частный универ ,1
Стипендиядан айырылып калсан грант та оки береди ма,7
IT мамандығына түсу шансым қанша 98 балл,1
Привет можно ли после 1 курса колледжа поступить в ваш университет,1
Привет у вас есть военная кафедра,1
И ещё сколько баллов надо набрать по тесту DuoLingo,1
Кашан шығады кай жерде болатыны,4
Международное отношение жылына канша турады,3
Приём документов до какого числа и занятие начнуться с какого спасибо,3
Бұл жыл грант неше бал болады,1
Оку акысы кай жерден көрсем болады,3
Open day қашан болады,1
планируете ли открывать медицинский факультет,1
Неге ИИН тіркелмей тұр,9
А сейчас перевестись нельзя То есть не смогу на Гранте обучатся да ,6
,7
А пойдет черно белый вариант айди карты ,7
А можно узнать сколько за год Грант или на платной основе Филология,1
Сду да агылшын миндетти ме,1
можете подробнее рассказать например турецкий а у вас есть языковые курсы,1
Если я не сдам тест по английскому языку то смогу ли обучаться если выиграю грант,1
Можно узнать если я участвую в конкурсе на госгрант и выиграю то автоматически поступаю же в универ,1
"А как записаться на клубы
",7
сиздер толық университетке алып бару керек құжаттар тізімін айта аласыздарма,2
Здравствуйте мы сами получаем онай карточку или нам выдаст универ,7
Осы мамандык бойынша шет елге окып жаткпндар бар ма,7
Китаптарды универге келип китапханадан алуга болады ма,7
У меня возник такой вопрос если я прохожу по баллам ЕНТ но не участвовала в Олимпиаде spt я могу поступить на грант,1
,7
Сабак кашан басталатнын айта аласзба,1
Журналистика оплата обучения қанша екен,3
Сдуда қазақ филологиясы факультеті барма және оқу ақысы қанша,3
Робототехника орыс тілінде бар ма екен Және грантка канша баллмен тусти,3
"У вас будут свои тесты или же если набрал высокий балл то это значит что ты уже поступил
",1
Здравствуйте я по поводу олимпиады SPT Моя идентификационная карта пропала так как находилась в папке спам Есть ли возможность отправить её знаново,4
Что бы нормально так понимать как минимум какой уровень должен быть интермедиат,1
А можно забрать студенческий билет с универа,7
"Извините а это для поступающих или учашихся На портале СДУ началась регистрация на дисциплины весеннего семестра
",7
Это бесплатно или платно   ,1
Слышала у вас есть свой грант хочу узнать поподробнее,4
Здравствуйте если получу грант я должен еще сдавать экзамен,1
Бірақ язык тестировония қазақшаны да орысшаны да белгілеп қойыппын Мен Шымкенттен SPT олиипиадасына катыскан болатынмын,4
Олимпиада га калай катыса аламын,4
Военкомат сиякты баргой сондай барма,1
Здравствуйте ID карта Оны кайдан аламыз ID керек екен Китапханага барып китап алу ушин,7
тоесть мне нужно позвонить в виртуальную комиссию ЖГУ или любого вуза который учавствует а акимском гранте то есть я должна поехать в ЖГУ и подать на грант акима вписав свои 4 вуза в которые может не входить ЖГУ верно,1
ielst сколько балл должна быть,1
Басқа универден басқа мамандық бойынша ауысу уақыты өтіп кетті ма,6
У вас нету грантов или скидок,1
будут ли студентов делить на занятиях по уровню их английского,1
Слышала у вас есть свой грант хочу узнать поподробнее,4
Бүгін конкурсқа қатыстым грант неші балдан жоғары болуы керек,1
Сіздерге ашық есік күніне барғанда тест тапсыру міндетті ме,1
Здравствуйте Хотела спросить в олимпиаде SPT могут учавствовать ученики 10 го класса ,4
Сәлеметсіз бе Сіздердің ішкі гранттар олимпиадасы 4 наурыз болады ма,4
Сколько баллов потребуется чтобы поступить в грант,1
Спт олимпиадасы кай кунге дейн болады,4
Или менде 55балл алдым барлық пәнім 5баллдан жоғары іліге аламба грантка,1
Дизайнерлік мамандығының бағасы қанша ,3
сәлеметсізбе мен SDU Edu kzтен иин номерімді жазып таба алмай жатырмын,4
Здравствуйте я могу узнать можно ли обучаться у вас на второе высшее Юриспруденция если да сколько стоит оплата Скидки есть,5
на АЙТИ сколько грантов выделено,1
Когда будут известны итоги spt,4
Саламатсызба Мысалы ентдан 120 алып Сдуға грантқа тілді білмей тұрып түсуге боладыма,1
Ертен жауаптары кай уакытта шыгады Салем,4
Филология саласына тусе аламынба 62 балл алып едим,1
Когда начнётся SPT,4
Берілген күні дегенге ҰБТ сертификатының берілген күнін жазамыз ба,2
Ис пен втипо айырмашылығы,3
Мой друг учавствует в конкурсе Айпад и он хочет узнать о том что можно ли накручивать лайки на видео,8
Spt грантына тапсыра аламын ба,4
чтобы поступить на грант информационные системы сколько баллов нужно набрать на ент,1
Олимпиад кай жерде өтеді,4
кто сколько набрал Здравствуйте будут результаты баллов,4
Кырейын десем кырылмейдв Отыныш берейын десем жеке куалык пен оку туралы анықтама ыстемей тур,9
Откенде СПТ олимпиадасында электронный почта кате жазп жбергенмін Не істесем болады,4
Окып жатр деген справканы онлайн алуга бола ма,7
Платный га Сиздерге документти онлаин тапсрса болады ғой иа,1
Нәтижесі қашан шығады  ,4
Бизге неге али степендия туспей жатыр,7
Мен педагогикалық тест туралы сұрайын деп едім,1
насчёт сдачи документов примерно сколько времени это займёт,2
я бы хотела задать вопрос мы тест на знание английского должны сдать до отправки документов в вузы или можно и после после поступления,2
Если вдруг больше 5 предметов это ок Или там учитывается разница в предметах,7
Можно узнать как это сделать Я хотела к вам перевестись,6
Сіздерде проходной балл қанша,1
Таңдау пән қандай болу керек,3
Филолигия У вас платное обучение сколько стоит,3
География математика сосн Нактылап айтвп бере аласыз ба Жалпф сұрақ саны 100ба әлде 120ма Шымкентте бола ма Олимпиада кашан шгад,4
Универге калай тусуге болад,1
Ielts 5 0 болса ағылшыннае экзамен тапсырам ба,1
Здравствуйте до какого числа нужно сдать документы,2
Я хочу поступить к вам на втпо по ент я набрал 126 баллов физмат средний балл аттестата 5 Каковы мои шансы на поступления на грант,1
У вас откроется мед отделение в универе,1
Студенттер үйінде орын біттіма,1
"Мен грантка түскім келетін вуздарга сіздің вузды жазсам грант ұта аламынба
",1
Ертен регистрация жасауға болама,1
Сіздерде дефектолог мамандығы бар ма,3
Здравствуйте Ал SPT арқылы ұтып алу мүмкіндігі бар ма,4
Сәлеметсіз бе қазір екі шет тілі факультеті бар ма,3
Студент намбер мен пассворд берлмеды,7
Салематсзба приёмная комиссия суббота воскресенье жасайдыма,1
Сиздерде барлык сабактар агылшынша отеди ма,1
Как думаете у меня 135 баллов и это хватит чтобы поступить на меж отношение,1
До какого числа приём документов,1
Какие нужно документы сдавать на гос грант,2
В году поступающие на бакалавриат будут учиться в университете или онлайн,1
Сколько нужно балов для поступления на грант по профессии мэнэджмент,1
Сколько нужно набрать для IT,1
А при наличий IELTS можно не сдать этот экзамен IELTS,1
Дурыс тыркелдым бе Почтама осындай фото келды Мен SPT олимпиадасына тыркелген едым,4
Саламатсызба олимпиада жауаптары шамамен нешелерде шығатынын айта аласызба бүгін немесе ертеңдері ме,4
Саламатсыздар ма 13 март СДУ да болатын окушылар арасындагы дебат туралы инфо керек еди Жауапты адамның байланыс номерин немесе эмейл бере аласыздар ма,8
Тек кара ручкамен толтыру кажет пе,4
Əдебиетпен қазақ тілінің сұрақтары келема,4
Қарағандыға қашан келесіздер,4
Ағылшын тілінен ішкі экзаменге Назарбаев университеті үшін тапсырылған Aptis результаты жарайды ма,1
Я попробовал во второй раз зарегестрироваться Но тоже не получается,9
Когда spt будет Какие предметы нужно выбрать на spt чтобы поступить на финансиста,4
Надо будет через сайт регистрироваться SPT,4
жауабы кашан шыгады олипиаданын,4
Здравствуйте Я пытаюсь зарегестрироваться на SPT но у меня уже 30 минут идёт загрузка данных,4
Спасибо у нас макс 140 балл по новому формату ент и сколько баллов нужно набрать чтобы поступить на грант и сколько грантов на факультет переводческого дела,1
А когда выйдут результаты гранта Хотел спросить,1
Здравствуйте я бы хотел узнать можно ли перевестись к вам не теряя гранта с КазНУ,6
Здравствуйте а те кто сдавал документы в другом универе где получают сертификаты,2
Я хотела бы узнать о магистратуре в сду,5
сыздерде 66 балга юристке ышкы грант барма,1
Здравствуйте когда выйдут результаты SPT,4
Здравствуйте я вчера написала тест психометрический но не получила сертификат,7
Шыгармашылык емтиханга калай заявка тастайды,1
Здравствуйте можно поступить в sdu на два иностранных языка на грант с 92 баллом и с корочкой intermediate,1
Учёт и аудит Переводится Есть ли скидки Можно ли поступить на грань на 2 курс,6
сіздерге грантпен ауысуға мүмкіндік бар ма мен биыл казнпуға физ мұғалімге түскен едм,6
1 семестрден сон грантты сактай отырып сыздерге СДУ ға ауыса аламынба,6
У меня 113баллов английский всемирная Могу ли я получить грант,1
Хотела узнать стоимость обучения сколько стоит,3
Экономикаға проходной канша,1
Био хим ға қандай мамандық бар сіздерде,3
Сіздерде био хим пищевой промышленности бар ма,3
Саламатсызба Ағылшын курстарының құны,3
Физика информатика мамандығының sdu дағы коды қандай,3
Здравствуйте у вас есть ресторанный бизнес   ,3
Почему ваши сайты не откырваются,9
Негізі осы олимпиадада ielts сертификатының пайдасы бар ма,4
Олимпиада кашан болады шамамен,4
Неге результаттар али жок Сайт ашылдыгой,4
Қандайда бір скидкалар барма,1
Кандай мамандыктар бар,3
И проходной канша Физика математикага,1
Осы олимпиададан грантка тусу ушин неше бал жинау керек,4
Журналистика платный багасы канша жылдык окудын,3
Cәлеметсізбе мен био хим нан 71 бал жинадым сіздердің универлеріңізге педагогикаға түсе аламынба,1
арнайы Ағылшын қосымшалар болама сіздерде,1
Сәлеметсізбе Sdu олимпиадасының жауабы қашан шығады,4
Massages,Classes
Заочно окуга боладыма ?,3
"Мен платный окимын,сиздерде оку акысы канша ?",3
"Ассалаумагалейкум физика-математика пәндерімен, 82  баллмен сіздерге кандай факультетке шанс бар?",1
Грантқа канша баллмен түсуге болады сіздерге?,3
Сіздерде биология-химия мамандыктары барма?,3
"А сколько баллов набрать чтобы на грант поступать для два языка, или только SPT есть для грантов?",1
"Здравствуйте ,я учусь в восьмом классе, и совсем недавно передо мной встал вопрос: В какой универ я буду поступать ?Я долго думала ,смотрела в интернете различные виды университетов и выбрала ваш . Теперь когда я уже знаю куда я буду поступать, я должна знать что мне требуется для поступления. Не могли бы ли вы мне сказать что требуется для поступления в ваш университет, нужно ли сдавать ЕНТ для поступления, а также какие виды профессий можно выбрать при поступлении в ваш универ?)",1
"Қайырлы күн, биология-география тапсырып 65 бал алдым психология мамандагына түсе аламынба?",1
"Обязательно ли проходить онлайн-тест, определяющий ваш уровень владения английским языком?",3
"Здравствуйте, после отправки заявки в Egov, мы можем отправить личную заявку в СДУ?",2
"Здравствуйте, какова цена общежития СДУ?",3
"Я набрал 65, могу поступить ваш университет?",1
А казахский язык сколько баллов проходной?,3
"Здравствуйте, в СДУ есть русский язык?",3
"Как можно найти Инстаграмм вашего преподавателя,медиатренера Асхата Еркимбай? Посмотрела видео. Очень хорошие вещи говорит! Рада тому,что есть такой свежий взгляд на журналистику!",8
Здравствуйте! А сколько грантов на “Международные отношения”?,3
"Cәлеметсізбе, журналистикага и баска факултетерге грант барма?",3
"Здравствуйте, у вас проходной балл сколько, выборочные предметы География и Английский?",3
"Саламатсыз ба , сиздерде сабактар кандай тилде окытылады?)",3
"1-ші курста английский мен турецкийди уйретеди ме, әлде уйренип бару керек па?",3
"Салеметсиз бе, кластерді ауыстыруга болама,тарих тандадым, ал казир адебиет ауыстырсам сонда баска почта жазайын ба или сол почтамен бола ма?",4
Сіздерде IT саласына түсу үшін шекті балл қанша?,1
Сіздер биыл IT саласына қанша мың грант бөліп жатсыздар?,3
Осы IT саласына түсу үшін математика-физика таңдайма или физика-математика ма?,3
Жәнеде сұрайын дегені SDU-да сабақтардың барлығы ағылшынша өтема?,3
"Тек таңдау пәніңді тапсырасын ба, или барлық 5 пәнді тапсырасың ба?)",1
SPT-ға тіркелу қашанға дейін жалғасады,4
"Сәлеметсіздер ме! Мен жазда КТ тапсырайын деп едім, соған қатысу үшін заявление қашан беремін??? Подробно түсіндіріп жібере аласыз ба? В будущем сіздерге оқуға түсем деп жүр едім?",6
"Негізі КТ-ны кез-келген универге тапсыруға болады дейді ғой, рас па сол?",3
Сәлеметсіз бе! Сіздерде қазақ тілі мен әдебиеті пәнінен қандай мамандықтар бар?,3
Қазақ тілі мен әдебиеті мұғалімі мамандығы бойынша оқу үшін 95баллмен грантқа түсуге мүмкіндік бола ма?,1
Мамандық бойынша оқу үшін ағылшын тілін білу қаншалықты міндетті?,1
"Саламатсыз ба, алтын белгилерд ин преимущественное правосы кайтарылады деген рас па? ",3
Здравствуйте а иностранным гражданам тоже касается spt2020 олимпиада или де отдельно экзамен есть?,4
А мы должный тогда в Казахстан приехать? Или можно онлайн?,4
"Салеметсіздер ме, мен SPT тесті бойынша тіркеу кезінде адам есімін, әкесінің атын қате жазып қойыппын, Id карт бойынша есімі қате жазылған тесттке қатыса алама?",4
"Салеметсіз бе, SDU университетінде қандай мамандықтар бар??",3
"Паспортың оригиналы керекпа, басқа қандай құжат керек?",2
"Хотел спросить правда ли что специальность математика у вас теперь платная, И IT специальности только бесплатные?",3
СДУда халықаралық қатынастар мамандығы бар ма?,3
Биология география мамандықтарына түсу балы қанша?,1
"Тіркеле алмай жатырмын, мектеп жазсам кате дейді?",2
Сіздерде форма кию міндеттіма или жоқпа,3
"Ал біздергеде осындай грант ұтып алуға бола ма, оны калай тапсырамыз?",8
Осы грант жайлы толык акпарат бере аласыз ба https://instagram.com/stories/sdukz/1785575460731883968 ?,8
"У вас есть инжененрия,строителный?",3
https://instagram.com/stories/sdukz/2439344886032639605,8
Тіркелу тагы 1 2 күнге созылатын болды ма?,7
Пост салуга да болады ма https://instagram.com/stories/sdukz/2248810550641657771 ?,8
"Здравствуйте, исчезла окошко опросник . Скажите пожалуйста на специальность иностранный язык тоже проходной 70 ? Или 50 ?",1
"Здравствуйте, сегодня вечером вышли результаты магистров , я поступила в ваш университет. Я нахожусь в городе Кокшетау, сказали до 10 сентября нужно сдать документы в университет. Как мне быть скажите пожалуйста ?",5
"Скажите пожалуйста, как быть с мед справкой ? Мы можем сдать документы сначала и потом мед справку ?",2
Приёмная комиссия со сколько до скольки принимают документы?,7
"Здравствуйте, меня зовут Курбанова Юлдуз. Я поступила к вас на магистратуру на грант и сдала документы через доверенность еще 9 го сентября. Мне на почту пришло письмо о том что заявка моя в отработке и в случае изменения они мне сообщат . Это получается это не факт то что меня приняли еще ?",5
"Здравствуйте, Можете сказать можем ли мы перевестись после 1 го семестра в другой ВУЗ ?",6
"Здраствуйте , хотела спросить про курсы Coursera. Можно ли сейчас зарегистрироваться? Или я уже опоздала? Есть ли там турецкие курсы ?",8
"Здравствуйте, магистрантам ждать такое ? Как бы и мы ваши студенты https://instagram.com/stories/sdukz/2429753623772111233 ?",8
"SDUға грант конкурссы 2021дегі қашан болады, негізі болама? Оған қалай өтініш қалдыруға болады?",3
"Мен Сарыағаш ауданы Ақжар ауылнан боламын, қалаға Түркістанды белгіледім но біздің мектеп шықпай тұр, қалай заявка тастасам болады, сосын оқу туралы анықтамаға қалай файл саламыз, фордпенба?",2
Басқа мектепті белгілей берсем болама? Оқу туралы анықтаманы не істейм?,2
Сиздерде востоковедение оплата канша ?,3
"География биология пәндері бойынша психология таңдап жатырмын, маған қандай ұсыныс білдіре аласыз сіздің универден?",3
У Вас годовой семестр сколько стоит на специальность Международные отношения?,3
"Профельные предметы английский история, через сельская квота или каким способом по этими предметами можно заполучить госгрант?",3
А почему сайт не открывается?,9
Ақпараттық технологиялар алдыңғы жылы проходной қанша болды?,1
"Здравствуйте,я бы хотел узнать,какие предметы нужно сдавать на юриста? Просто везде написано по разному,и не знаю какая из них правильная. Можете пожалуйста помочь?",3
"Здравствуйте я подала заявку на участие в олимпиаде которая проводится 3 марта, Я подала ее 4 февраля, ответа нет?",7
Здравствуйте будут ли розыгрыши грантов?,8
Здравствуйте! Сколько у вас стоит обучение на ин.филологию?,3
Грантка тускен туспегенді қай сайттан қарасақ болады?,1
Бүгін құжат тапсырудың соңғы күні ма? Алде 28 не дейін созылды ма?,7
Документ кай жерге тапсыруга болады,7
Қайырлы кеш! Бүгін #ipadfromsdu конкурсының нәтижесі болады ма?,8
Могу ли я передать документы через знакомых?,7
"Есть ли возможность поступить в sdu, даже если абитуриенты сдают творческое ент? Или здесь уже без шансов?",3
Сәлеметсіз бе! Мадияр ағайдың шығармашылық емтиxанға байланфсты айтылған кеңестерінің видеожазбасын қайдан тапса болады? YouTube желісінде болуы мүмкін бе?,8
"Добрый день! Хотела узнать, какой у вас график работы? И есть ли возможность попасть в приемную комиссию?",3
Сәлеметсіз бе! Мен математика және статистика мамандығын тандайын деп едім. Оқыту қай тілде жүреді? ,3
Ағылшын тілі қажет пе?,3
Мамандық коды B055 па?,3
"Как присоединиться к командам, я не была на СДУ фесте?",8
